No errors
This data source has been renamed to 'aircraftreports' and will not be available in the next release of the dataserver; 
36 ms
data source=pireps
802 results
receipt_time,observation_time,mid_point_assumed,no_time_stamp,flt_lvl_range,above_ground_level_indicated,no_flt_lvl,bad_location,aircraft_ref,latitude,longitude,altitude_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,visibility_statute_mi,wx_string,temp_c,wind_dir_degrees,wind_speed_kt,vert_gust_kt,report_type,raw_text
2020-02-02T02:48:40Z,2020-02-02T02:45:00Z,,,,,,,SVA746,19.8333,66.4833,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-47,251,66,,AIREP,SVA746 1950N06629E 0245 F370 MS47 251/66KT,
2020-02-02T02:45:41Z,2020-02-02T02:44:00Z,,,,,,,THT8,59.75,-33.3,38900,,,,,,,,,,,,,,,,,,,,,,,,,,,-44,351,37,,AIREP,ARP THT8 5945N 03318W 0244 F389 M44 351/37 5859N 03001W 0257 5659N 02001W KT FOMUA QXT AOE 020244 L10A,
2020-02-02T02:46:41Z,2020-02-02T02:44:00Z,,,,,,,ICE614,54.3333,-58.1667,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-48,261,26,,AIREP,ARP ICE614 5420N 05810W 0244 F370 M48 261/26 HOIST 0252 5800N 05000W KT TFISN DDL YYR 020244 A15A,
2020-02-02T02:45:41Z,2020-02-02T02:44:00Z,,,,,,,DLH471,53.6167,-45.0167,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-52,276,40,,AIREP,ARP DLH471 5337N 04501W 0244 F350 M52 276/40 5400N 04000W 0304 5400N 03000W KT DABVW DDL XXH 020244 F58A,
2020-02-02T02:45:41Z,2020-02-02T02:44:00Z,,,,,,,ICE688,53.0333,-52.1,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,276,42,,AIREP,ARP ICE688 5302N 05206W 0244 F370 M51 276/42 5400N 05000W 0256 5800N 04000W KT TFISJ DDL YAY 020244 A71A,
2020-02-02T02:46:41Z,2020-02-02T02:44:00Z,,,,,,,SAS908,52.5667,-46.5167,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,280,37,,AIREP,ARP SAS908 5234N 04631W 0244 F390 M49 280/37 5459N 03959W 0318 5759N 02959W KT LNRKH DDL XXN 020245 J56A,
2020-02-02T02:46:41Z,2020-02-02T02:44:00Z,,,,,,,UAL958,52.0667,-34.1167,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-46,243,32,,AIREP,ARP UAL958 5204N 03407W 0244 F350 M46 243/32 5158N 03000W 0303 5258N 02000W KT N677UA DDL XXN 020244 F90A,
2020-02-02T02:45:41Z,2020-02-02T02:44:00Z,,,,,,,UAL19,51.9333,-40.3167,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,-55,304,45,,AIREP,ARP UAL19 5156N 04019W 0244 F330 M55 304/45 5200N 04000W 0245 5159N 03000W KT N67052 DDL XXN 020244 F60A,
2020-02-02T02:46:41Z,2020-02-02T02:44:00Z,,,,,,,ACA898,51.1,-57.75,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-49,257,50,,AIREP,ARP ACA898 5106N 05745W 0244 F370 M49 257/50 RIKAL 0258 5300N 05000W KT CFRSO DDL YIF 020244 L38A,
2020-02-02T02:47:51Z,2020-02-02T02:44:00Z,,,,,,,DLH403,51.0833,-35.4,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-45,250,31,,AIREP,ARP DLH403 5105N 03524W 0244 F370 M45 250/31 5059N 03000W 0307 5159N 02000W KT DABYU DDL XXF 020244 F80A,
